document_id,text
488,fdrl intern fund transf
489,indfor incom indo remi30061
490,indo gibl indiaforens stl30061
491,indfor incom indo remi01071
492,indo gibl indiaforens stl01071
493,indfor incom indo remi02071
494,indo gibl indiaforens stl02071
495,fdrl intern fund transf
496,indfor incom indo remi03071
497,indo gibl indiaforens stl03071
498,indfor incom indo remi04071
499,indo gibl indiaforens stl04071
500,indfor incom indo remi05071
501,indo gibl indiaforens stl05071
502,fdrl intern fund transf
503,indfor incom indo remi06071
504,indo gibl indiaforens stl06071
505,fdrl intern fund transf
506,indfor incom indo remi08071
507,indo gibl indiaforens stl08071
508,indfor incom indo remi07071
509,indo gibl indiaforens stl07071
510,fdrl intern fund transf
511,indfor incom indo remi09071
512,indo gibl indiaforens stl09071
513,fdrl intern fund transf
514,indfor incom indo remi10071
515,indo gibl indiaforens stl10071
516,fdrl intern fund transf
517,fdrl intern fund transf
518,indfor incom indo remi11071
519,indo gibl indiaforens stl11071
520,fdrl intern fund transf
521,indfor incom indo remi12071
522,indo gibl indiaforens stl12071
523,fdrl intern fund transf
524,fdrl intern fund transf
525,indfor incom indo remi15071
526,indo gibl indiaforens stl15071
527,indfor incom indo remi14071
528,indo gibl indiaforens stl14071
529,indfor incom indo remi13071
530,indo gibl indiaforens stl13071
531,fdrl intern fund transf
532,fdrl intern fund transf
533,indfor incom indo remi16071
534,indo gibl indiaforens stl16071
535,fdrl intern fund transf
536,fdrl intern fund transf
537,indfor incom indo remi17071
538,indo gibl indiaforens stl17071
539,fdrl intern fund transf
540,fdrl intern fund transf
541,fdrl intern fund transf
542,fdrl intern fund transf
543,fdrl intern fund transf
544,fdrl intern fund transf
545,indfor incom indo remi18071
546,indo gibl indiaforens stl18071
547,indfor incom indo remi19071
548,indo gibl indiaforens stl19071
549,fdrl intern fund transf
550,indfor incom indo remi20071
551,indo gibl indiaforens stl20071
552,fdrl intern fund transf
553,fdrl intern fund transf
554,indfor incom indo remi22071
555,indo gibl indiaforens stl22071
556,indfor incom indo remi21071
557,indo gibl indiaforens stl21071
558,indfor incom indo remi23071
559,indo gibl indiaforens stl23071
560,fdrl intern fund transf
561,indfor incom indo remi24071
562,indo gibl indiaforens stl24071
563,fdrl intern fund transf
564,fdrl intern fund transf
565,indfor incom indo remi25071
566,indo gibl indiaforens stl25071
567,fdrl intern fund transf
568,indfor incom indo remi26071
569,indo gibl indiaforens stl26071
570,fdrl intern fund transf
571,indfor incom indo remi27071
572,indo gibl indiaforens stl27071
573,indfor incom indo remi28071
574,indo gibl indiaforens stl28071
575,indfor incom indo remi30071
576,indo gibl indiaforens stl30071
577,fdrl intern fund transf
578,indfor incom indo remi31071
579,indo gibl indiaforens stl31071
580,fdrl intern fund transf
581,indfor incom indo remi01081
582,indo gibl indiaforens stl01081
583,fdrl intern fund transf
584,indfor incom indo remi02081
585,indo gibl indiaforens stl02081
586,indfor incom indo remi03081
587,indo gibl indiaforens stl03081
588,indfor incom indo remi04081
589,indo gibl indiaforens stl04081
590,indfor incom indo remi05081
591,indo gibl indiaforens stl05081
592,fdrl intern fund transf
593,indfor incom indo remi06081
594,indo gibl indiaforens stl06081
595,fdrl intern fund transf
596,fdrl intern fund transf
597,indfor incom indo remi07081
598,indo gibl indiaforens stl07081
599,fdrl intern fund transf
600,indfor incom indo remi08081
601,indo gibl indiaforens stl08081
602,fdrl intern fund transf
603,indfor incom indo remi09081
604,indo gibl indiaforens stl09081
605,fdrl intern fund transf
606,indfor incom indo remi10081
607,indo gibl indiaforens stl10081
608,indfor incom indo remi11081
609,indo gibl indiaforens stl11081
610,indfor incom indo remi12081
611,indo gibl indiaforens stl12081
612,indfor incom indo remi13081
613,indo gibl indiaforens stl13081
614,fdrl intern fund transf
615,indfor incom indo remi14081
616,indo gibl indiaforens stl14081
617,indfor incom indo remi15081
618,indo gibl indiaforens stl15081
619,fdrl intern fund transf
620,indfor incom indo remi16081
621,indo gibl indiaforens stl16081
622,fdrl intern fund transf
623,indfor incom indo remi17081
624,indo gibl indiaforens stl17081
625,fdrl intern fund transf
626,fdrl intern fund transf
627,indfor incom indo remi18081
628,indo gibl indiaforens stl18081
629,indfor incom indo remi19081
630,indo gibl indiaforens stl19081
631,fdrl intern fund transf
632,indfor incom indo remi20081
633,indo gibl indiaforens stl20081
634,fdrl intern fund transf
635,fdrl intern fund transf
636,indfor incom indo remi21081
637,indo gibl indiaforens stl21081
638,indfor incom indo remi22081
639,indo gibl indiaforens stl22081
640,fdrl intern fund transf
641,indfor incom indo remi23081
642,indo gibl indiaforens stl23081
643,fdrl intern fund transf
644,fdrl intern fund transf
645,indfor incom indo remi24081
646,indo gibl indiaforens stl24081
647,indfor incom indo remi25081
648,indo gibl indiaforens stl25081
649,fdrl intern fund transf
650,indfor incom indo remi27081
651,indo gibl indiaforens stl27081
652,fdrl intern fund transf
653,indfor incom indo remi28081
654,indo gibl indiaforens stl28081
655,fdrl intern fund transf
656,indfor incom indo remi29081
657,indo gibl indiaforens stl29081
658,indfor incom indo remi30081
659,indo gibl indiaforens stl30081
660,fdrl intern fund transf
661,indfor incom indo remi31081
662,indo weiz stl310818
663,fdrl intern fund transf
664,indfor incom indo remi01091
665,indo gibl indiaforens stl01091
666,indfor incom indo remi02091
667,indo gibl indiaforens stl02091
668,indfor incom indo remi03091
669,indo gibl indiaforens stl03091
670,fdrl intern fund transf
671,indfor incom indo remi04091
672,indo weiz stl040918
673,indfor incom indo remi05091
674,indo gibl indiaforens stl05091
675,fdrl intern fund transf
676,indfor incom indo remi06091
677,indo gibl indiaforens stl06091
678,fdrl intern fund transf
679,indfor incom indo remi07091
680,indo gibl indiaforens stl07091
681,indfor incom indo remi08091
682,indo gibl indiaforens stl08091
683,indfor incom indo remi09091
684,indo gibl indiaforens stl09091
685,fdrl intern fund transf
686,fdrl intern fund transf
687,indfor incom indo remi10091
688,indo gibl indiaforens stl10091
689,fdrl intern fund transf
690,indfor incom indo remi11091
691,indo gibl indiaforens stl11091
692,indfor incom indo remi12091
693,indo gibl indiaforens stl12091
694,indfor incom indo remi13091
695,indo gibl indiaforens stl13091
696,fdrl intern fund transf
697,indfor incom indo remi14091
698,indo gibl indiaforens stl14091
699,fdrl intern fund transf
700,fdrl intern fund transf
701,indfor incom indo remi15091
702,indo gibl indiaforens stl15091
703,indfor incom indo remi16091
704,indo gibl indiaforens stl16091
705,indfor incom indo remi17091
706,indo gibl indiaforens stl17091
707,indfor incom indo remi18091
708,indo gibl indiaforens stl18091
709,fdrl intern fund transf
710,indfor incom indo remi19091
711,indo gibl indiaforens stl19091
712,fdrl intern fund transf
713,fdrl intern fund transf
714,indfor incom indo remi20091
715,indo gibl indiaforens stl20091
716,indfor incom indo remi21091
717,indo gibl indiaforens stl21091
718,indfor incom indo remi22091
719,indo gibl indiaforens stl22091
720,indfor incom indo remi23091
721,indo gibl indiaforens stl23091
722,fdrl intern fund transf
723,indfor incom indo remi24091
724,indo gibl indiaforens stl24091
725,fdrl intern fund transf
726,indfor incom indo remi25091
727,indo gibl indiaforens stl25091
728,indfor incom indo remi26091
729,indo gibl indiaforens stl26091
730,fdrl intern fund transf
731,indfor incom indo remi27091
732,indo gibl indiaforens stl27091
733,indfor incom indo remi28091
734,indo gibl indiaforens stl28091
735,fdrl intern fund transf
736,indfor incom indo remi29091
737,indo gibl indiaforens stl29091
738,indfor incom indo remi30091
739,indo gibl indiaforens stl30091
740,fdrl intern fund transf
